Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,6.0,103.6,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,1.0,100.9,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,13.0,101.2,loss of appetite,depression,painless lumps,lumpy virus
sheep,6.0,104.7,chest discomfort,sweats,fatigue,anthrax
sheep,9.0,100.8,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,15.0,102.6,painless lumps,loss of appetite,depression,lumpy virus
sheep,6.0,103.4,loss of appetite,blisters on mouth,lameness,foot and mouth
goat,8.0,100.7,depression,crackling sound,swelling in limb,blackleg
buffalo,11.0,103.7,chills,sweats,swelling in abdomen,anthrax
sheep,9.0,101.4,loss of appetite,painless lumps,depression,pneumonia
goat,8.0,101.6,loss of appetite,painless lumps,depression,lumpy virus
sheep,2.0,102.0,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,9.0,102.6,crackling sound,lameness,depression,blackleg
goat,3.0,103.3,lameness,loss of appetite,blisters on mouth,foot and mouth
goat,7.0,103.4,depression,loss of appetite,painless lumps,pneumonia
goat,1.0,103.8,chills,sweats,swelling in abdomen,anthrax
goat,2.0,103.9,loss of appetite,painless lumps,depression,lumpy virus
buffalo,8.0,100.5,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,10.0,104.6,painless lumps,loss of appetite,depression,lumpy virus
sheep,7.0,100.5,difficulty walking,loss of appetite,swelling in limb,blackleg
buffalo,9.0,103.2,depression,loss of appetite,painless lumps,pneumonia
sheep,1.0,101.4,loss of appetite,crackling sound,swelling in muscle,blackleg
goat,5.0,102.4,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
buffalo,5.0,104.5,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
cow,3.0,102.2,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,10.0,102.4,loss of appetite,lameness,crackling sound,blackleg
sheep,9.0,102.7,lameness,loss of appetite,depression,blackleg
sheep,9.0,100.2,depression,crackling sound,swelling in limb,blackleg
cow,15.0,100.2,depression,swelling in limb,loss of appetite,blackleg
goat,6.0,104.6,painless lumps,depression,loss of appetite,pneumonia
goat,10.0,103.7,fatigue,sweats,chest discomfort,anthrax
goat,7.0,100.5,chills,swelling in abdomen,shortness of breath,anthrax
cow,5.0,102.1,chills,sweats,fatigue,anthrax
goat,6.0,101.5,swelling in extremities,chills,fatigue,anthrax
buffalo,14.0,100.5,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,10.0,102.7,lameness,crackling sound,swelling in muscle,blackleg
goat,6.0,101.7,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,14.0,104.8,depression,loss of appetite,painless lumps,lumpy virus
cow,2.0,102.9,loss of appetite,painless lumps,depression,lumpy virus
sheep,10.0,101.8,loss of appetite,painless lumps,depression,lumpy virus
cow,6.0,102.5,painless lumps,loss of appetite,depression,lumpy virus
cow,6.0,102.5,lameness,crackling sound,swelling in muscle,blackleg
sheep,1.0,103.4,depression,loss of appetite,crackling sound,blackleg
goat,4.0,102.5,depression,lameness,crackling sound,blackleg
sheep,5.0,103.7,loss of appetite,depression,painless lumps,pneumonia
goat,10.0,101.1,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,10.0,100.4,loss of appetite,sores on hooves,lameness,foot and mouth
sheep,5.0,103.7,difficulty walking,sores on hooves,loss of appetite,foot and mouth
cow,10.0,102.6,shortness of breath,fatigue,chest discomfort,anthrax
cow,7.0,101.3,loss of appetite,depression,painless lumps,pneumonia
sheep,9.0,103.4,crackling sound,loss of appetite,swelling in muscle,blackleg
sheep,2.0,100.1,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,7.0,101.7,depression,painless lumps,loss of appetite,pneumonia
cow,12.0,102.3,depression,painless lumps,loss of appetite,pneumonia
sheep,10.0,100.6,loss of appetite,lameness,sores on gums,foot and mouth
cow,15.0,100.6,depression,loss of appetite,painless lumps,lumpy virus
sheep,1.0,100.2,crackling sound,lameness,swelling in muscle,blackleg
goat,4.0,102.2,chills,sweats,fatigue,anthrax
sheep,4.0,103.0,loss of appetite,painless lumps,depression,pneumonia
cow,11.0,100.6,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,8.0,102.1,swelling in limb,depression,difficulty walking,blackleg
buffalo,9.0,104.7,painless lumps,loss of appetite,depression,pneumonia
buffalo,4.0,100.2,loss of appetite,blisters on gums,lameness,foot and mouth
goat,1.0,101.7,fatigue,swelling in extremities,chills,anthrax
goat,2.0,100.6,painless lumps,depression,loss of appetite,pneumonia
goat,8.0,102.6,chills,shortness of breath,chest discomfort,anthrax
cow,11.0,100.7,crackling sound,swelling in muscle,lameness,blackleg
goat,5.0,100.8,sweats,shortness of breath,fatigue,anthrax
buffalo,1.0,100.3,loss of appetite,depression,painless lumps,pneumonia
buffalo,4.0,104.4,crackling sound,loss of appetite,swelling in limb,blackleg
sheep,4.0,101.7,loss of appetite,painless lumps,depression,pneumonia
cow,4.0,103.4,depression,painless lumps,loss of appetite,pneumonia
sheep,10.0,101.1,blisters on tongue,loss of appetite,lameness,foot and mouth
sheep,6.0,101.3,loss of appetite,swelling in muscle,crackling sound,blackleg
buffalo,6.0,100.3,swelling in extremities,sweats,chest discomfort,anthrax
goat,10.0,105.0,depression,painless lumps,loss of appetite,lumpy virus
cow,1.0,102.1,lameness,swelling in limb,loss of appetite,blackleg
buffalo,1.0,102.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,1.0,103.7,loss of appetite,painless lumps,depression,lumpy virus
cow,8.0,103.6,crackling sound,difficulty walking,loss of appetite,blackleg
buffalo,5.0,100.7,lameness,loss of appetite,sores on gums,foot and mouth
cow,1.0,100.1,sores on tongue,loss of appetite,lameness,foot and mouth
goat,4.0,101.4,swelling in extremities,fatigue,chest discomfort,anthrax
buffalo,4.0,101.1,depression,loss of appetite,painless lumps,pneumonia
buffalo,1.0,103.0,sweats,chest discomfort,fatigue,anthrax
buffalo,3.0,102.2,lameness,depression,loss of appetite,blackleg
buffalo,10.0,101.3,lameness,crackling sound,depression,blackleg
goat,2.0,104.2,depression,loss of appetite,painless lumps,lumpy virus
sheep,8.0,104.5,loss of appetite,lameness,crackling sound,blackleg
goat,4.0,103.3,lameness,crackling sound,depression,blackleg
cow,1.0,104.8,swelling in limb,depression,loss of appetite,blackleg
sheep,3.0,103.3,fatigue,sweats,chest discomfort,anthrax
buffalo,13.0,102.1,depression,painless lumps,loss of appetite,pneumonia
sheep,3.0,104.8,painless lumps,depression,loss of appetite,lumpy virus
cow,5.0,103.5,crackling sound,difficulty walking,loss of appetite,blackleg
cow,11.0,102.2,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
cow,14.0,101.8,sores on mouth,difficulty walking,loss of appetite,foot and mouth
cow,5.0,103.7,loss of appetite,depression,painless lumps,pneumonia
sheep,7.0,104.4,swelling in neck,chills,sweats,anthrax
buffalo,4.0,100.3,fatigue,shortness of breath,chest discomfort,anthrax
sheep,3.0,101.0,fatigue,sweats,swelling in abdomen,anthrax
cow,14.0,102.0,loss of appetite,difficulty walking,depression,blackleg
goat,6.0,102.7,depression,crackling sound,loss of appetite,blackleg
sheep,2.0,101.6,lameness,blisters on tongue,loss of appetite,foot and mouth
buffalo,5.0,100.9,swelling in muscle,lameness,loss of appetite,blackleg
goat,5.0,102.1,painless lumps,depression,loss of appetite,pneumonia
buffalo,14.0,101.8,painless lumps,loss of appetite,depression,pneumonia
sheep,1.0,103.8,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
buffalo,5.0,104.3,crackling sound,depression,lameness,blackleg
sheep,2.0,100.7,blisters on gums,loss of appetite,lameness,foot and mouth
sheep,10.0,101.4,depression,difficulty walking,swelling in limb,blackleg
goat,8.0,101.3,loss of appetite,swelling in muscle,lameness,blackleg
cow,8.0,101.9,sores on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,12.0,100.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,13.0,102.8,painless lumps,loss of appetite,depression,pneumonia
goat,8.0,101.8,loss of appetite,painless lumps,depression,pneumonia
sheep,2.0,102.8,chills,sweats,fatigue,anthrax
sheep,3.0,102.9,depression,loss of appetite,painless lumps,lumpy virus
cow,5.0,104.3,painless lumps,loss of appetite,depression,lumpy virus
goat,4.0,102.8,depression,swelling in muscle,crackling sound,blackleg
goat,2.0,100.0,sweats,chills,shortness of breath,anthrax
cow,5.0,100.2,loss of appetite,depression,crackling sound,blackleg
sheep,1.0,102.6,difficulty walking,sores on tongue,loss of appetite,foot and mouth
sheep,5.0,102.3,depression,swelling in limb,crackling sound,blackleg
buffalo,1.0,104.3,loss of appetite,painless lumps,depression,pneumonia
cow,10.0,101.7,sweats,chills,chest discomfort,anthrax
goat,3.0,101.9,difficulty walking,swelling in muscle,crackling sound,blackleg
goat,2.0,101.8,loss of appetite,blisters on gums,lameness,foot and mouth
sheep,4.0,102.9,loss of appetite,swelling in limb,depression,blackleg
sheep,7.0,103.9,loss of appetite,depression,painless lumps,pneumonia
cow,8.0,104.9,fatigue,chills,sweats,anthrax
goat,7.0,100.5,shortness of breath,swelling in extremities,fatigue,anthrax
buffalo,4.0,100.8,crackling sound,swelling in limb,difficulty walking,blackleg
buffalo,11.0,104.0,crackling sound,depression,difficulty walking,blackleg
goat,2.0,103.0,shortness of breath,chills,swelling in abdomen,anthrax
goat,6.0,103.6,chills,shortness of breath,swelling in extremities,anthrax
sheep,1.0,104.7,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,6.0,100.7,swelling in abdomen,shortness of breath,fatigue,anthrax
sheep,2.0,101.8,loss of appetite,painless lumps,depression,pneumonia
goat,5.0,100.2,swelling in muscle,depression,crackling sound,blackleg
goat,10.0,104.7,depression,swelling in muscle,crackling sound,blackleg
cow,2.0,101.4,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,9.0,101.1,difficulty walking,swelling in limb,loss of appetite,blackleg
goat,8.0,102.6,loss of appetite,difficulty walking,sores on hooves,foot and mouth
sheep,10.0,100.9,depression,loss of appetite,painless lumps,lumpy virus
sheep,6.0,101.5,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,3.0,102.4,loss of appetite,sores on gums,lameness,foot and mouth
goat,8.0,103.7,loss of appetite,depression,painless lumps,lumpy virus
goat,2.0,101.5,loss of appetite,difficulty walking,swelling in muscle,blackleg
sheep,7.0,103.0,loss of appetite,painless lumps,depression,lumpy virus
sheep,5.0,101.3,swelling in neck,sweats,chest discomfort,anthrax
buffalo,8.0,101.8,fatigue,chest discomfort,swelling in extremities,anthrax
goat,2.0,100.1,depression,loss of appetite,painless lumps,lumpy virus
buffalo,4.0,101.0,lameness,blisters on tongue,loss of appetite,foot and mouth
cow,10.0,102.9,swelling in abdomen,chills,shortness of breath,anthrax
goat,1.0,103.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,5.0,103.7,depression,painless lumps,loss of appetite,pneumonia
goat,9.0,104.4,crackling sound,difficulty walking,swelling in limb,blackleg
sheep,1.0,102.8,sores on tongue,loss of appetite,difficulty walking,foot and mouth
cow,1.0,102.0,sweats,swelling in abdomen,fatigue,anthrax
sheep,7.0,100.7,depression,painless lumps,loss of appetite,lumpy virus
cow,6.0,100.9,crackling sound,depression,loss of appetite,blackleg
cow,3.0,101.3,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,2.0,100.2,loss of appetite,painless lumps,depression,lumpy virus
goat,8.0,103.0,difficulty walking,swelling in limb,crackling sound,blackleg
buffalo,2.0,101.2,crackling sound,loss of appetite,depression,blackleg
buffalo,13.0,103.8,sores on gums,loss of appetite,difficulty walking,foot and mouth
goat,2.0,102.5,depression,loss of appetite,painless lumps,lumpy virus
goat,6.0,103.0,loss of appetite,depression,painless lumps,pneumonia
buffalo,1.0,101.1,chills,chest discomfort,swelling in extremities,anthrax
sheep,1.0,104.2,depression,painless lumps,loss of appetite,pneumonia
buffalo,2.0,100.3,chest discomfort,shortness of breath,sweats,anthrax
goat,1.0,102.5,depression,loss of appetite,painless lumps,lumpy virus
cow,15.0,104.7,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,8.0,101.6,depression,loss of appetite,painless lumps,lumpy virus
cow,2.0,103.0,crackling sound,lameness,loss of appetite,blackleg
sheep,8.0,101.7,swelling in limb,depression,loss of appetite,blackleg
goat,2.0,105.0,painless lumps,loss of appetite,depression,lumpy virus
goat,6.0,101.2,depression,crackling sound,lameness,blackleg
goat,1.0,104.7,difficulty walking,loss of appetite,sores on mouth,foot and mouth
buffalo,14.0,101.9,painless lumps,depression,loss of appetite,pneumonia
cow,3.0,103.2,chills,fatigue,swelling in extremities,anthrax
buffalo,7.0,104.1,swelling in muscle,lameness,depression,blackleg
sheep,5.0,100.7,shortness of breath,sweats,chest discomfort,anthrax
cow,12.0,103.5,lameness,loss of appetite,blisters on mouth,foot and mouth
buffalo,1.0,103.9,painless lumps,depression,loss of appetite,lumpy virus
sheep,10.0,101.7,lameness,loss of appetite,sores on mouth,foot and mouth
cow,11.0,100.7,sores on tongue,difficulty walking,loss of appetite,foot and mouth
cow,3.0,104.5,difficulty walking,sores on tongue,loss of appetite,foot and mouth
buffalo,4.0,102.6,loss of appetite,painless lumps,depression,pneumonia
buffalo,4.0,104.9,loss of appetite,depression,crackling sound,blackleg
goat,10.0,102.1,chills,chest discomfort,shortness of breath,anthrax
buffalo,13.0,102.5,crackling sound,depression,loss of appetite,blackleg
buffalo,9.0,104.2,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,11.0,101.1,loss of appetite,lameness,depression,blackleg
buffalo,15.0,102.4,chest discomfort,shortness of breath,swelling in extremities,anthrax
buffalo,6.0,101.7,chest discomfort,sweats,shortness of breath,anthrax
sheep,7.0,100.0,lameness,loss of appetite,crackling sound,blackleg
buffalo,1.0,102.9,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
cow,4.0,101.3,painless lumps,loss of appetite,depression,pneumonia
sheep,3.0,104.6,shortness of breath,chills,fatigue,anthrax
cow,7.0,104.5,chills,chest discomfort,shortness of breath,anthrax
goat,8.0,104.1,crackling sound,lameness,loss of appetite,blackleg
cow,1.0,104.8,painless lumps,depression,loss of appetite,lumpy virus
cow,12.0,104.0,crackling sound,depression,swelling in muscle,blackleg
buffalo,2.0,102.8,loss of appetite,painless lumps,depression,lumpy virus
sheep,6.0,102.1,depression,loss of appetite,painless lumps,lumpy virus
cow,11.0,103.4,chest discomfort,swelling in neck,fatigue,anthrax
cow,12.0,101.7,loss of appetite,painless lumps,depression,lumpy virus
sheep,3.0,103.7,crackling sound,depression,loss of appetite,blackleg
buffalo,13.0,103.3,chills,shortness of breath,swelling in abdomen,anthrax
goat,7.0,100.3,crackling sound,swelling in limb,depression,blackleg
goat,2.0,100.4,loss of appetite,painless lumps,depression,pneumonia
cow,4.0,100.5,crackling sound,loss of appetite,swelling in muscle,blackleg
cow,10.0,102.4,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,13.0,102.9,loss of appetite,depression,painless lumps,pneumonia
buffalo,14.0,102.6,crackling sound,lameness,loss of appetite,blackleg
sheep,4.0,100.0,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
cow,8.0,101.9,depression,loss of appetite,crackling sound,blackleg
cow,5.0,100.2,sweats,fatigue,chest discomfort,anthrax
cow,15.0,103.8,painless lumps,depression,loss of appetite,lumpy virus
buffalo,4.0,102.2,loss of appetite,depression,painless lumps,lumpy virus
sheep,5.0,102.2,swelling in abdomen,chest discomfort,chills,anthrax
sheep,9.0,101.3,depression,loss of appetite,painless lumps,pneumonia
buffalo,10.0,101.7,loss of appetite,difficulty walking,swelling in muscle,blackleg
buffalo,3.0,101.6,depression,difficulty walking,crackling sound,blackleg
sheep,2.0,101.3,difficulty walking,swelling in muscle,depression,blackleg
sheep,9.0,101.4,depression,painless lumps,loss of appetite,pneumonia
goat,3.0,101.4,swelling in neck,shortness of breath,chest discomfort,anthrax
sheep,4.0,102.7,chest discomfort,fatigue,chills,anthrax
buffalo,3.0,101.7,loss of appetite,difficulty walking,sores on mouth,foot and mouth
buffalo,4.0,102.5,painless lumps,depression,loss of appetite,pneumonia
sheep,6.0,103.4,lameness,loss of appetite,blisters on gums,foot and mouth
buffalo,10.0,104.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,7.0,102.0,sores on mouth,lameness,loss of appetite,foot and mouth
goat,5.0,104.3,loss of appetite,sores on tongue,lameness,foot and mouth
sheep,6.0,104.3,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,5.0,101.0,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,1.0,100.9,loss of appetite,lameness,blisters on gums,foot and mouth
sheep,5.0,100.3,sweats,swelling in neck,chills,anthrax
cow,1.0,103.6,depression,loss of appetite,painless lumps,pneumonia
goat,7.0,100.2,chills,shortness of breath,sweats,anthrax
cow,11.0,100.2,swelling in limb,loss of appetite,difficulty walking,blackleg
cow,9.0,100.2,crackling sound,depression,difficulty walking,blackleg
cow,6.0,100.3,painless lumps,depression,loss of appetite,pneumonia
sheep,6.0,102.4,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,11.0,104.1,loss of appetite,painless lumps,depression,pneumonia
cow,13.0,101.9,fatigue,chills,sweats,anthrax
cow,7.0,105.0,painless lumps,loss of appetite,depression,pneumonia
cow,11.0,100.9,depression,loss of appetite,painless lumps,lumpy virus
cow,3.0,101.0,swelling in extremities,chills,fatigue,anthrax
cow,11.0,100.3,fatigue,shortness of breath,sweats,anthrax
buffalo,9.0,103.3,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,10.0,100.5,difficulty walking,blisters on gums,loss of appetite,foot and mouth
buffalo,4.0,100.6,depression,swelling in muscle,loss of appetite,blackleg
cow,4.0,102.1,depression,loss of appetite,crackling sound,blackleg
cow,12.0,101.4,loss of appetite,depression,painless lumps,pneumonia
buffalo,12.0,102.2,chest discomfort,swelling in neck,shortness of breath,anthrax
cow,12.0,104.0,loss of appetite,painless lumps,depression,pneumonia
cow,11.0,104.0,depression,painless lumps,loss of appetite,lumpy virus
cow,1.0,101.7,painless lumps,depression,loss of appetite,pneumonia
buffalo,4.0,103.8,loss of appetite,difficulty walking,blisters on gums,foot and mouth
cow,9.0,101.0,depression,painless lumps,loss of appetite,lumpy virus
goat,5.0,100.5,crackling sound,depression,loss of appetite,blackleg
cow,11.0,104.4,sores on tongue,loss of appetite,lameness,foot and mouth
sheep,1.0,101.3,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
cow,14.0,100.8,sores on mouth,loss of appetite,lameness,foot and mouth
goat,2.0,104.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,8.0,101.9,loss of appetite,difficulty walking,sores on hooves,foot and mouth
sheep,2.0,101.1,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,7.0,100.8,loss of appetite,painless lumps,depression,pneumonia
buffalo,13.0,100.3,shortness of breath,chills,swelling in extremities,anthrax
sheep,8.0,101.8,chest discomfort,sweats,chills,anthrax
goat,10.0,104.7,loss of appetite,sores on hooves,lameness,foot and mouth
sheep,2.0,104.0,shortness of breath,chills,fatigue,anthrax
buffalo,8.0,102.9,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,3.0,102.4,painless lumps,depression,loss of appetite,pneumonia
cow,13.0,102.0,crackling sound,loss of appetite,swelling in limb,blackleg
sheep,5.0,102.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,3.0,100.2,fatigue,shortness of breath,sweats,anthrax
goat,8.0,103.3,loss of appetite,crackling sound,depression,blackleg
buffalo,12.0,102.8,loss of appetite,blisters on mouth,lameness,foot and mouth
goat,2.0,102.7,depression,difficulty walking,swelling in muscle,blackleg
sheep,9.0,103.0,chills,fatigue,chest discomfort,anthrax
sheep,4.0,100.6,chills,swelling in extremities,chest discomfort,anthrax
buffalo,10.0,102.1,loss of appetite,painless lumps,depression,pneumonia
cow,12.0,104.5,sores on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,10.0,104.2,painless lumps,depression,loss of appetite,pneumonia
cow,3.0,102.7,loss of appetite,depression,painless lumps,lumpy virus
buffalo,6.0,100.8,painless lumps,loss of appetite,depression,pneumonia
cow,1.0,102.1,depression,lameness,swelling in limb,blackleg
cow,5.0,104.7,shortness of breath,swelling in abdomen,fatigue,anthrax
buffalo,13.0,100.8,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,2.0,101.7,depression,loss of appetite,painless lumps,pneumonia
cow,14.0,101.2,crackling sound,depression,lameness,blackleg
sheep,1.0,103.3,blisters on mouth,lameness,loss of appetite,foot and mouth
cow,13.0,101.3,painless lumps,depression,loss of appetite,lumpy virus
cow,4.0,103.1,difficulty walking,loss of appetite,sores on hooves,foot and mouth
sheep,4.0,102.7,swelling in neck,chest discomfort,fatigue,anthrax
cow,5.0,100.2,loss of appetite,lameness,sores on mouth,foot and mouth
goat,8.0,102.6,sweats,fatigue,swelling in extremities,anthrax
sheep,9.0,101.1,loss of appetite,sores on gums,difficulty walking,foot and mouth
cow,12.0,100.4,loss of appetite,painless lumps,depression,pneumonia
goat,2.0,102.6,chest discomfort,sweats,chills,anthrax
goat,7.0,101.9,fatigue,sweats,chills,anthrax
buffalo,5.0,102.6,sores on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,10.0,102.0,painless lumps,depression,loss of appetite,lumpy virus
sheep,3.0,104.8,painless lumps,depression,loss of appetite,pneumonia
sheep,10.0,102.9,depression,loss of appetite,painless lumps,pneumonia
buffalo,7.0,104.8,lameness,blisters on mouth,loss of appetite,foot and mouth
buffalo,4.0,105.0,sweats,shortness of breath,fatigue,anthrax
cow,5.0,104.1,lameness,loss of appetite,sores on mouth,foot and mouth
sheep,10.0,102.9,sweats,shortness of breath,fatigue,anthrax
sheep,7.0,103.9,chest discomfort,chills,shortness of breath,anthrax
buffalo,2.0,100.5,sweats,chest discomfort,swelling in extremities,anthrax
cow,4.0,102.1,depression,crackling sound,swelling in limb,blackleg
sheep,10.0,103.0,difficulty walking,depression,crackling sound,blackleg
goat,7.0,103.4,swelling in muscle,depression,crackling sound,blackleg
goat,7.0,102.1,loss of appetite,sores on gums,difficulty walking,foot and mouth
sheep,5.0,103.5,blisters on gums,loss of appetite,difficulty walking,foot and mouth
cow,1.0,102.3,swelling in abdomen,chest discomfort,sweats,anthrax
goat,5.0,104.8,difficulty walking,crackling sound,swelling in limb,blackleg
goat,10.0,101.8,lameness,swelling in muscle,loss of appetite,blackleg
buffalo,9.0,101.9,loss of appetite,depression,swelling in muscle,blackleg
goat,8.0,100.6,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
goat,2.0,101.4,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
sheep,9.0,101.4,loss of appetite,depression,painless lumps,lumpy virus
sheep,3.0,101.3,crackling sound,loss of appetite,lameness,blackleg
buffalo,2.0,101.1,sweats,chills,chest discomfort,anthrax
sheep,10.0,103.8,depression,loss of appetite,painless lumps,lumpy virus
goat,5.0,101.7,sores on mouth,loss of appetite,lameness,foot and mouth
cow,7.0,101.0,loss of appetite,lameness,swelling in limb,blackleg
buffalo,9.0,100.6,loss of appetite,depression,painless lumps,lumpy virus
goat,5.0,103.0,depression,lameness,swelling in muscle,blackleg
cow,12.0,102.7,chest discomfort,sweats,swelling in extremities,anthrax
cow,7.0,102.6,difficulty walking,swelling in limb,depression,blackleg
buffalo,5.0,104.4,loss of appetite,difficulty walking,sores on gums,foot and mouth
cow,10.0,103.0,lameness,blisters on tongue,loss of appetite,foot and mouth
sheep,10.0,104.2,swelling in limb,difficulty walking,crackling sound,blackleg
sheep,5.0,102.5,painless lumps,loss of appetite,depression,pneumonia
goat,5.0,101.0,fatigue,chills,sweats,anthrax
goat,3.0,103.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,7.0,102.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,5.0,100.4,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,3.0,103.3,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,7.0,102.1,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,7.0,101.6,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,9.0,103.4,chills,sweats,chest discomfort,anthrax
sheep,9.0,101.5,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,9.0,101.7,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,1.0,102.0,loss of appetite,painless lumps,depression,pneumonia
cow,13.0,100.3,lameness,blisters on gums,loss of appetite,foot and mouth
cow,12.0,101.5,fatigue,swelling in abdomen,sweats,anthrax
cow,5.0,102.0,loss of appetite,depression,painless lumps,lumpy virus
sheep,4.0,101.9,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,10.0,103.9,difficulty walking,swelling in limb,crackling sound,blackleg
sheep,4.0,101.0,loss of appetite,painless lumps,depression,pneumonia
goat,1.0,103.0,blisters on mouth,loss of appetite,lameness,foot and mouth
cow,12.0,100.3,loss of appetite,lameness,sores on mouth,foot and mouth
goat,10.0,103.6,difficulty walking,sores on mouth,loss of appetite,foot and mouth
goat,7.0,100.8,lameness,loss of appetite,depression,blackleg
cow,7.0,104.9,swelling in extremities,shortness of breath,chills,anthrax
goat,1.0,101.5,painless lumps,depression,loss of appetite,lumpy virus
sheep,1.0,100.4,loss of appetite,depression,crackling sound,blackleg
buffalo,15.0,100.9,crackling sound,depression,difficulty walking,blackleg
goat,10.0,103.8,depression,loss of appetite,painless lumps,lumpy virus
goat,7.0,103.4,painless lumps,loss of appetite,depression,lumpy virus
buffalo,6.0,104.7,painless lumps,depression,loss of appetite,pneumonia
goat,4.0,101.6,painless lumps,depression,loss of appetite,pneumonia
goat,5.0,100.3,shortness of breath,sweats,fatigue,anthrax
buffalo,4.0,100.5,crackling sound,depression,swelling in limb,blackleg
sheep,7.0,102.1,chills,shortness of breath,chest discomfort,anthrax
cow,10.0,102.5,loss of appetite,depression,painless lumps,pneumonia
goat,5.0,101.6,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,2.0,102.0,chills,chest discomfort,swelling in abdomen,anthrax
cow,10.0,103.4,chest discomfort,sweats,swelling in extremities,anthrax
buffalo,4.0,101.3,loss of appetite,crackling sound,swelling in muscle,blackleg
cow,1.0,102.6,depression,loss of appetite,painless lumps,pneumonia
goat,9.0,102.5,depression,lameness,loss of appetite,blackleg
goat,7.0,101.7,crackling sound,swelling in muscle,lameness,blackleg
buffalo,4.0,103.6,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
goat,6.0,104.5,shortness of breath,swelling in abdomen,fatigue,anthrax
cow,8.0,103.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,13.0,103.3,swelling in neck,chills,fatigue,anthrax
buffalo,4.0,100.1,sores on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,3.0,104.4,loss of appetite,lameness,sores on hooves,foot and mouth
cow,6.0,102.6,loss of appetite,depression,painless lumps,pneumonia
buffalo,7.0,103.1,loss of appetite,painless lumps,depression,pneumonia
goat,8.0,101.6,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
goat,1.0,102.7,sweats,shortness of breath,swelling in abdomen,anthrax
buffalo,3.0,102.2,loss of appetite,depression,painless lumps,pneumonia
cow,14.0,102.7,swelling in muscle,difficulty walking,depression,blackleg
buffalo,9.0,102.9,depression,loss of appetite,painless lumps,pneumonia
cow,5.0,102.1,loss of appetite,painless lumps,depression,lumpy virus
goat,6.0,104.9,sores on hooves,lameness,loss of appetite,foot and mouth
cow,13.0,100.9,blisters on gums,loss of appetite,difficulty walking,foot and mouth
